img_name,tnbc,CAF,firstorder_Mean,firstorder_StandardDeviation,firstorder_Skewness,firstorder_Kurtosis,firstorder_Entropy,firstorder_Minimum,firstorder_Maximum,firstorder_Median,firstorder_InterquartileRange,firstorder_Range,shape2D_MeshSurface,shape2D_PixelSurface,shape2D_Perimeter,shape2D_PerimeterSurfaceRatio,shape2D_Sphericity,shape2D_SphericalDisproportion,shape2D_MaximumDiameter,shape2D_MajorAxisLength,shape2D_MinorAxisLength,shape2D_Elongation,glcm_JointEnergy,glcm_Contrast,glcm_Correlation,glcm_SumSquares,glcm_SumAverage,glcm_JointEntropy,glcm_DifferenceVariance,glcm_DifferenceEntropy,glcm_DifferenceAverage,glcm_Imc1,glcm_Imc2,glcm_Autocorrelation,glcm_ClusterShade,glcm_ClusterProminence,glcm_MaximumProbability,glcm_InverseVariance
segment_57,1,1,66.24539877,35.66581289,-0.43367837,1.69411573,2.25612217,0,123,77,65,123,102,163,427.0681092,4.18694225,0.083831623,11.92867275,360.8171282,341.4291053,238.0670006,0.697266276,0.45469863,0.18543956,0.94741349,0.96229131,5.41346154,1.73828534,0.11656956,0.47538064,0.18543956,-0.52262479,0.70471686,8.77129121,-4.23306945,50.6394652,0.51304945,0.18543956
segment_58,1,1,70.19496855,37.65491741,-0.38626049,1.77939091,2.32918349,0,131,84,62.5,131,101,159,414.0975465,4.09997571,0.086032583,11.62350317,335.1715978,370.434298,260.2672855,0.702600399,0.30586875,0.32620614,0.88493235,1.38908096,6.8064693,2.16231884,0.16262576,0.67605106,0.32620614,-0.71889671,0.93792257,13.61403509,-3.16375031,54.55872417,0.42598684,0.32620614
segment_59,1,1,110.4605263,48.66803252,-1.14616718,3.10933936,2.39006838,0,174,132,55,174,100.5,152,389.3279939,3.87391039,0.091279306,10.95538562,317.874189,269.9662725,209.9595805,0.777725227,0.44580296,0.2379349,0.96520663,2.40609424,7.1335578,2.02258478,0.14665926,0.60655225,0.2379349,-0.40797539,0.63926093,18.76430976,-33.04936431,391.5912605,0.53815937,0.2379349
segment_60,1,1,111.0909091,62.11095681,-0.65501581,2.00055042,2.71007389,1,190,141,96,189,44.5,77,207.8477631,4.67073625,0.113773098,8.789424044,279.9464235,292.0342373,184.8852065,0.633094284,0.3828125,0.45833333,0.32087526,3.93098958,8.95833333,1.625,0.09895833,0.45161419,0.45833333,-0.97060994,0.96678517,28.33333333,60.43359375,765.1091309,0.5,0.45833333
segment_61,1,1,103.7769231,52.31682556,-0.7009502,2.38258042,2.68695478,0,180,113,68.5,180,85,130,334.5584412,3.93598166,0.097688266,10.23664393,314.6315305,368.7037823,227.4225459,0.616816417,0.3807505,0.25806452,0.92649674,2.26044758,6.66308244,2.1229304,0.12486993,0.49962462,0.25806452,-0.72935623,0.90994112,15.31182796,15.45413049,264.7814923,0.48566308,0.25806452
segment_62,1,1,96.03636364,54.16757287,-0.65498914,1.90688831,2.49891087,1,173,116,96.75,172,77.5,110,273.8477631,3.53351952,0.113958464,8.775127079,287.7168747,371.9595893,188.7822581,0.507534322,0.16332305,0.32407407,0.96464944,4.67176783,8.49074074,2.90299789,0.21484911,0.89485265,0.32407407,-0.63167823,0.95264099,22.5462963,-48.61254636,578.0002771,0.24074074,0.32407407
segment_63,1,1,58.22222222,50.85224299,0.06064203,1.25508191,2.04191538,0,135,66,107,135,26.5,45,120.6518036,4.55289825,0.151249536,6.611590539,266.6927071,361.8298813,160.7330927,0.444222827,0.73046875,0.0625,0.98988622,1.54492188,7.3125,0.71189747,0.0546875,0.27178222,0.0625,-0.5,0.48528757,16.6875,14.59570312,121.15979,0.8125,0.0625
segment_65,0,0,59.80882353,30.63699098,-0.28131196,2.08297082,2.21735081,2,119,66,45,117,40.5,68,181.5634919,4.48304918,0.124252151,8.048150387,255.0686182,225.8506562,214.5497663,0.949962997,0.59685185,0.1,0.96638655,0.79212963,5.94444444,1.11340798,0.07,0.29376363,0.1,-0.5014272,0.60463432,9.63333333,-3.51975309,35.64182099,0.68888889,0.1
segment_66,0,0,57.54651163,27.5189816,0.02988246,2.31895712,2.10465678,3,116,58,38.5,113,56,86,221.7056275,3.95902906,0.119652624,8.357526673,333.1561196,263.8780139,185.3228602,0.702305044,0.2006576,0.36666667,0.52548209,0.8402381,5.9,2.62117573,0.23111111,0.94462321,0.36666667,-0.24962083,0.5669836,9.56190476,3.072,34.14674286,0.2952381,0.36666667
segment_68,0,0,50.59756098,29.1337788,0.010875,2.01259781,2.03278929,2,103,48,38.75,101,56,82,207.0782105,3.69782519,0.128104546,7.806124216,234.0619576,270.9245262,165.0215745,0.609105336,0.36848073,0.19047619,0.72117585,0.30442177,5.04761905,1.71961948,0.13378685,0.59724563,0.19047619,-0.48097716,0.77039872,7.53174603,-0.42090487,1.70606383,0.48412698,0.19047619
segment_69,0,0,50.65753425,32.79250632,0.21865487,2.00918759,2.20608094,1,121,47,56,120,46.5,73,189.9066376,4.08401371,0.127289114,7.85613135,295.0254226,271.3437121,206.1326802,0.759673694,0.36865286,0.46801347,0.24165448,1.03310036,4.14478114,1.72662045,0.10719995,0.48274765,0.46801347,-0.75762821,0.91060645,5.81481481,-4.29370466,52.89615434,0.47306397,0.46801347
segment_7,1,0,73.84705882,43.94957161,-0.53501124,1.77688977,2.26415694,0,140,93,75,140,53,85,223.019336,4.207912,0.115717848,8.641709274,301.3984074,370.6774516,245.3581525,0.661918202,0.53177392,0.13461538,0.98152302,2.41296844,5.35897436,1.40955518,0.1058925,0.47688677,0.13461538,-0.52494349,0.63957567,9.91025641,-0.90157032,183.1628765,0.63782051,0.13461538
segment_70,0,0,64.83076923,32.75858982,-0.23751603,2.06734657,2.26568691,0,123,68,54,123,41.5,65,168.9360749,4.07074879,0.135178176,7.397643851,233.9444379,200.8905193,154.9498807,0.771315049,0.37207031,0.75,-0.0797037,0.91308594,6.28125,1.70695488,0.125,0.5,0.75,-0.87246196,0.94375976,11.546875,-0.07324219,23.39532471,0.421875,0.75
segment_71,0,0,62.78888889,25.79383839,-0.56749479,2.73019485,2.0601385,1,107,66.5,37.75,106,56,90,236.3330445,4.22023294,0.112246936,8.90892913,312.6179777,322.9990867,179.6660795,0.556243305,0.57693142,0.25520833,0.88652811,0.58981662,6.88020833,1.49765039,0.14832899,0.54751951,0.22395833,-0.26188118,0.45425979,12.44791667,-1.53645381,17.06266262,0.63020833,0.19661458
segment_72,1,0,79.59047619,42.32857759,-0.74694098,2.04272562,2.18641247,0,127,99,70,127,67,105,272.9604615,4.07403674,0.106302282,9.407135733,340.618555,365.7603569,278.8878689,0.762487961,0.5194161,0.07142857,0.9717362,2.13180272,8.78571429,1.31940244,0.06122449,0.29583639,0.07142857,-0.81399634,0.89858384,21.54761905,-35.58892128,255.9576565,0.68452381,0.07142857
segment_73,1,0,72.58677686,35.43558221,-0.81545229,2.41908734,2.18138382,0,122,87,47,122,71,121,324.8427125,4.57524947,0.091951957,10.87524431,342.0672449,347.3153328,284.8505966,0.820149788,0.39885355,0.41025641,0.31663455,1.10108481,7.43589744,1.50577918,0.0591716,0.25978328,0.41025641,-0.85406994,0.93315053,15.09615385,-11.59399181,77.74524702,0.4775641,0.41025641
