img_name,tnbc,CAF,firstorder_Mean,firstorder_StandardDeviation,firstorder_Skewness,firstorder_Kurtosis,firstorder_Entropy,firstorder_Minimum,firstorder_Maximum,firstorder_Median,firstorder_InterquartileRange,firstorder_Range,shape2D_MeshSurface,shape2D_PixelSurface,shape2D_Perimeter,shape2D_PerimeterSurfaceRatio,shape2D_Sphericity,shape2D_SphericalDisproportion,shape2D_MaximumDiameter,shape2D_MajorAxisLength,shape2D_MinorAxisLength,shape2D_Elongation,glcm_JointEnergy,glcm_Contrast,glcm_Correlation,glcm_SumSquares,glcm_SumAverage,glcm_JointEntropy,glcm_DifferenceVariance,glcm_DifferenceEntropy,glcm_DifferenceAverage,glcm_Imc1,glcm_Imc2,glcm_Autocorrelation,glcm_ClusterShade,glcm_ClusterProminence,glcm_MaximumProbability,glcm_InverseVariance
segment_0,1,0,123.2297297,42.64341377,-1.6202025,4.80173019,2.28916843,0,177,136,37.25,177,95.5,148,382.9848481,4.01031255,0.090453427,11.05541309,316.268873,235.3592833,208.5149894,0.885943339,0.65291454,0.13690476,0.93994915,1.40824724,8.89404762,1.16766558,0.10448554,0.468895,0.13690476,-0.49678123,0.59199706,27.0702381,-37.59005312,368.8897855,0.71071429,0.13690476
segment_1,1,0,121.7071429,40.93889112,-1.31991952,3.84822772,2.32374632,3,174,139,46,171,86.5,140,368.6417024,4.26175378,0.089435208,11.18127882,288.4995667,278.169022,189.229249,0.680267154,0.30539448,0.33589744,0.39444444,0.76121795,11.83333333,2.00977285,0.20767258,0.87080658,0.33589744,-0.37329737,0.69772874,36.03076923,-4,45.10801282,0.42820513,0.33589744
segment_10,1,0,88.77391304,24.34322006,-1.11006741,4.18328734,1.9119067,2,127,95,35,125,71.5,115,302.0731599,4.22479944,0.099230645,10.07753199,322.3864141,374.1609936,170.0270937,0.454422285,0.47629686,0.38368984,0.38873106,0.43706747,8.33823529,1.53283853,0.09428351,0.40517645,0.38368984,-0.46839764,0.65240672,18.4184492,-1.27134874,9.48985176,0.5394385,0.38368984
segment_100,1,1,78.03389831,41.28875831,-0.53240745,2.01325346,2.37408887,0,147,89.5,68,147,69.5,118,316.3574311,4.55190548,0.093415576,10.70485295,362.6265296,372.7382595,256.7756241,0.688889905,0.33972222,0.31666667,0.50141243,1.36736111,8.08333333,1.8122615,0.17388889,0.70916019,0.31666667,-0.55121903,0.78105344,17.94166667,0.32962963,59.82939815,0.44166667,0.31666667
segment_101,1,1,65.53571429,37.93950273,-0.16797274,1.74946541,2.44724978,1,133,68,67,132,86,140,369.4701295,4.2961643,0.088976399,11.2389354,358.7338847,371.6421437,244.9928268,0.659217021,0.27869898,0.67857143,0.22644,1.59895833,5.41666667,2.2305608,0.13052721,0.5581329,0.67857143,-0.77053845,0.95443582,9.53571429,6.41517857,88.86067708,0.36904762,0.67857143
segment_102,1,1,69.43065693,34.76318121,-0.30367971,1.9450653,2.36622988,0,131,74,59,131,80.5,137,367.6122651,4.56661199,0.086519277,11.55811791,353.035409,363.4421214,244.2913486,0.672160254,0.435625,1.225,0.09545261,1.1178125,5.075,1.4672489,0.14125,0.60527961,0.725,-0.73424793,0.82720547,7.5875,4.356,44.90319062,0.55,0.2875
segment_103,1,1,86.02439024,32.52727771,-1.09293061,3.6618558,2.10850273,0,151,96,30,151,76.5,123,323.0437226,4.22279376,0.095978585,10.41899085,346.8976794,380.0497417,281.1590016,0.739795271,0.31099346,0.65909091,0.20475946,0.87689394,9.16666667,2.09664303,0.12103994,0.52816827,0.65909091,-0.72168719,0.93591689,21.65151515,-3.90909091,41.83143939,0.40151515,0.65909091
segment_104,1,1,74.76595745,31.10258439,-1.01177183,3.03159229,2.1251298,0,127,85,36.5,127,119,188,490.3229432,4.12036087,0.078867159,12.67954889,345.2593228,411.6895235,294.0732567,0.714308332,0.51236778,0.14699074,0.86977742,0.62203314,7.62615741,1.64402458,0.11457931,0.50736099,0.14699074,-0.32674353,0.58208354,15.11342593,-4.53011969,33.78918488,0.61458333,0.14699074
segment_105,1,1,86.04968944,32.15776352,-1.23017422,4.33670404,2.11687215,0,161,95,29,161,107.5,161,410.6417024,3.81992281,0.089504756,11.17259066,336.0297606,393.2183253,301.6688083,0.767178915,0.31799769,0.54166667,0.16713064,0.61476273,9.325,1.96437586,0.14293981,0.59638677,0.54166667,-0.58739839,0.85741356,22.46666667,-5.55619097,40.65911959,0.40277778,0.54166667
segment_106,1,1,81.34567901,32.44203206,-0.98583881,2.84077985,2.12338166,0,130,96,40.5,130,98.5,162,429.2102448,4.35746441,0.081969629,12.19964048,347.6348659,391.0543992,287.7766363,0.735899243,0.46518626,0.15646853,0.93209729,0.69976451,7.19493007,1.66702492,0.10748998,0.44822123,0.15646853,-0.49836017,0.6896735,14.50611888,-5.06393827,36.50523335,0.53933566,0.15646853
segment_107,1,1,74.06896552,34.10777142,-0.64428871,2.29105724,2.31529582,0,127,82,53.5,127,109,174,455.6955262,4.1806929,0.08121634,12.31279316,343.5825956,378.5333814,328.3696932,0.867478826,0.3703893,0.63664596,-0.04088191,1.04357953,6.7173913,1.74705423,0.09922457,0.42279407,0.63664596,-0.77544439,0.92568383,13.29968944,-11.89619462,85.45687117,0.45600414,0.63664596
segment_108,1,1,76.87150838,35.40113661,-0.61540405,2.35868677,2.21679923,1,134,83,51.5,133,114.5,179,464.8670991,4.05997466,0.081597878,12.25522065,347.0014409,370.213368,350.1418017,0.945783788,0.46182693,0.50487013,0.42065903,0.92115555,7.02272727,1.76431567,0.17196197,0.53839574,0.44642857,-0.46965067,0.68288455,13.34821429,-4.77242541,48.3763273,0.53003247,0.39529221
segment_109,1,1,82.15037594,33.5775382,-1.02041562,2.94923437,2.09352457,1,126,94,48,125,77,133,358.783838,4.65953036,0.086699666,11.53406984,352.4826237,384.3576325,313.7309416,0.816247461,0.33104455,0.18382353,0.81170455,1.20217885,8.00735294,2.0208101,0.14565311,0.66691875,0.18382353,-0.73198567,0.94071627,17.15441176,-10.25551153,80.97096663,0.51470588,0.18382353
segment_11,1,0,91.47887324,27.53070458,-1.08231362,4.1887672,2.06706703,2,134,95,38.5,132,90,142,370.156421,4.11284912,0.09085334,11.00674996,319.0376153,340.0385,223.2320446,0.656490499,0.26076594,0.25641026,0.68039901,0.62868453,8.84188034,2.26396556,0.18595222,0.80289231,0.25641026,-0.42307039,0.74951461,20.07905983,-2.44936417,21.74823896,0.37820513,0.25641026
segment_110,1,1,83.40606061,33.60229014,-1.17914758,3.40278732,2.02897401,0,127,94,41,127,106,165,427.7544007,4.03541887,0.085322462,11.72024315,344.6113753,394.4884041,326.855501,0.828555409,0.24651973,0.34586466,0.87341462,1.35989881,7.9887218,2.53964919,0.2704223,0.88892366,0.27443609,-0.61115995,0.94304995,17.16071429,-11.10831325,73.69970424,0.38909774,0.21193609
segment_111,0,0,75.65289256,36.85502326,-0.60455463,2.10965566,2.30863846,3,130,86,57,127,69,121,328.156421,4.75589016,0.089732253,11.14426496,389.7601827,414.5194314,323.2299365,0.779770288,0.49414866,0.26851852,0.88582487,0.76157407,5.83333333,1.58423843,0.14480453,0.60078473,0.26851852,-0.4480359,0.63344501,11.06481481,-0.70833333,19.3125,0.57407407,0.26851852
segment_112,0,0,79.86131387,34.96133056,-0.58855796,2.43881536,2.35753535,0,138,89,51,138,83.5,137,362.6417024,4.3430144,0.089324465,11.19514119,392.5633707,469.4576675,349.2567964,0.743958019,0.1724537,1.16666667,0.30164027,1.40483539,7.48148148,2.80001401,0.2962963,1.06632265,0.77777778,-0.58786152,0.94435813,14.81481481,-2.08653406,53.34867017,0.24074074,0.4375
segment_113,0,0,73.86451613,35.9496202,-0.48127107,2.09930537,2.35873858,0,143,85,56,143,94,155,411.0681092,4.37306499,0.083609394,11.96037858,405.2024186,442.2638445,335.6011477,0.758825647,0.44369835,0.18181818,0.93993507,1.67458678,6.40909091,1.81347501,0.11570248,0.47283015,0.18181818,-0.50543503,0.69508658,13.04545455,3.162284,88.80599003,0.5,0.18181818
segment_114,0,0,78.14367816,40.25532078,-0.43050578,1.9855451,2.48248646,0,162,90,69.5,162,104,174,463.9797975,4.46134421,0.077915261,12.83445611,391.8290444,460.0256318,314.5261676,0.683714441,0.28909203,0.21825397,0.95549827,3.72410006,6.98809524,2.23822285,0.14677816,0.60807468,0.21825397,-0.79792193,0.96044505,15.99603175,-3.03446914,355.5051915,0.3968254,0.21825397
segment_115,0,0,79.37121212,39.60781322,-0.40552244,2.12330953,2.52992173,0,151,88.5,61.5,151,78,132,353.4701295,4.53166833,0.088572625,11.29017011,405.9408824,458.7159833,335.7753295,0.731989601,0.20710343,0.49719888,0.91705815,3.01648159,7.26190476,2.6510221,0.2205647,0.91236721,0.49719888,-0.8177106,0.98210338,16.34313725,-9.90842051,218.6533966,0.30112045,0.49719888
segment_116,0,0,79.38709677,37.84420021,-0.60000262,2.29245922,2.39605923,0,139,87.5,56,139,117.5,186,485.4945161,4.13186822,0.079147926,12.63456993,406.6902999,485.3719011,341.9111798,0.704431342,0.42040593,0.52113971,0.44168252,1.2139373,6.64613971,2.05143089,0.11861686,0.4813417,0.52113971,-0.48537929,0.70428322,13.94715074,-8.73783702,95.56690146,0.43566176,0.52113971
segment_117,0,0,85.18589744,39.14778123,-0.83777304,2.57469429,2.30628634,0,143,97,51.5,143,99.5,156,405.6122651,4.07650518,0.087177697,11.47082374,405.3109917,465.4664376,347.145926,0.74580227,0.4618764,0.25662879,0.84997076,0.88165502,6.36837121,1.95660297,0.17316363,0.66275322,0.23579545,-0.27947523,0.57786186,13.47348485,-6.96810218,58.21822406,0.55776515,0.21756629
segment_118,0,0,97.25547445,42.24451404,-0.85261368,2.42542796,2.42645808,0,152,115,62,152,85,137,360.156421,4.23713436,0.09074511,11.01987751,382.2145994,453.5862286,381.1590722,0.840323291,0.3330968,0.34681373,0.65578379,3.32822299,8.5747549,2.07490911,0.24148915,0.71204256,0.26348039,-0.62183894,0.81404781,22.48039216,4.67378072,303.7417299,0.45220588,0.19056373
segment_119,1,1,69.18897638,26.71333156,-0.79775585,3.21094064,2.05215672,1,115,74,35,114,81.5,127,329.3868684,4.04155667,0.097157751,10.29253956,289.0847627,292.5972822,204.4429714,0.698717944,0.32957279,0.55211558,0.16531085,0.51558771,7.12383901,2.06459203,0.16708681,0.60286068,0.51702786,-0.60879622,0.88262876,12.94840041,-0.60435197,8.17212105,0.44633643,0.48632611
segment_120,1,1,71.6,28.7036454,-0.61973305,2.82581424,2.12229,2,124,76,31.5,122,89,135,346.2152955,3.8900595,0.096594786,10.35252565,288.3903605,290.083518,190.4472861,0.656525705,0.45045455,0.37171717,0.73354192,0.49181512,6.86464646,1.84390157,0.22992348,0.71870572,0.30505051,-0.2587921,0.57087545,12.31616162,-1.45422237,12.06538843,0.5040404,0.24671717
segment_121,1,1,74.10714286,29.91170254,-0.75508227,2.92319648,2.11929861,0,124,80,37.25,124,86.5,140,368.6417024,4.26175378,0.089435208,11.18127882,341.6460156,327.1513133,255.5943634,0.781272619,0.46935262,0.24242424,0.8990304,0.83677686,7.18181818,1.78531687,0.17355372,0.64533458,0.21212121,-0.37713054,0.62319144,13.78787879,-7.75432006,54.2824716,0.54545455,0.18560606
segment_122,1,1,73.59756098,35.13974185,-0.49872079,2.23388131,2.32916037,1,139,80.5,51.25,138,107,164,422.4406922,3.94804385,0.086802269,11.52043624,364.2320689,390.6702651,259.3215163,0.663786163,0.22934841,0.36111111,0.79405783,1.39433636,7.48232323,2.45038339,0.25694444,0.68763576,0.25,-0.6194486,0.86548228,15.44444444,-2.98890796,59.89479324,0.31818182,0.15277778
segment_123,1,1,70.08383234,29.34033482,-0.68692604,2.78875638,2.1608125,1,131,75,40.5,130,105.5,167,435.8965363,4.13172072,0.083531012,11.97160162,364.0123624,375.4683016,291.5701604,0.776550668,0.52368512,1.16029412,0.33201744,0.58423659,6.56323529,1.42560708,0.11374567,0.45116212,0.64558824,-0.42403649,0.60545586,10.86176471,-1.06309363,12.27629769,0.59852941,0.19522059
segment_124,1,1,81.13768116,30.45457345,-0.86309285,3.49083233,2.14590665,1,153,86,33.5,152,83,138,367.1269837,4.42321667,0.087968598,11.36769278,345.5835644,434.3383579,284.5908883,0.65522854,0.52632149,0.16179337,0.8521913,0.78777801,7.19493177,1.4087502,0.12224844,0.53189296,0.16179337,-0.27855919,0.53237263,13.90448343,-8.47287591,55.29966969,0.63937622,0.16179337
segment_125,1,1,83.84713376,31.17960415,-0.95664174,3.16503788,2.17633337,1,135,93,38,134,96,157,415.0681092,4.32362614,0.083679906,11.95030028,362.6637561,375.2395903,281.3998935,0.749920586,0.51120883,1.11759868,0.42511992,0.69604222,8.67351974,1.44258199,0.08695193,0.38132186,0.61759868,-0.4963575,0.66531358,19.16036184,-4.42138489,28.58140444,0.60279605,0.18009868
segment_126,1,1,83.45801527,31.13410038,-0.75705441,3.37852536,2.2216971,2,155,89,38.5,153,77.5,131,350.6417024,4.52440906,0.089000453,11.23589787,355.9283636,406.7778991,299.6346943,0.736605147,0.20117188,0.4375,0.52118829,0.76171875,9.125,2.63204883,0.2421875,0.977217,0.4375,-0.26406903,0.61014626,21.375,0.05859375,26.59692383,0.3125,0.4375
segment_127,0,0,62.13095238,29.16038562,-0.16045571,2.01599325,2.19619549,5,117,62,43,112,60.5,84,206.9360749,3.42043099,0.133243617,7.505049964,319.5950563,357.0673797,186.1268974,0.521265475,0.18475537,0.52972028,0.51617988,0.70049727,5.96678322,2.82387512,0.2377439,0.9642595,0.52972028,-0.26036185,0.7286145,9.66608392,-3.23055507,25.87105878,0.30944056,0.52972028
segment_128,0,0,67.64,30.96498668,-0.30671217,2.09845804,2.30012509,4,127,73,55.5,123,29,50,134.7939392,4.64806687,0.141622927,7.061003625,309.2781919,348.2565017,212.1240566,0.609102933,0.328125,0.375,0.67727273,0.6796875,5.375,1.875,0.21875,0.90563906,0.375,-0.60756286,0.88665237,7.75,1.078125,8.10351562,0.5,0.375
segment_129,0,0,56.08823529,23.43183813,-0.09342633,2.76342909,1.99918979,3,107,54,29,104,48,68,169.137085,3.52368927,0.145206718,6.886733715,295.8800433,323.4968699,205.8096933,0.636203044,0.18489583,0.52777778,0.43576287,0.58145255,5.40277778,2.59408941,0.21990741,0.90985799,0.52777778,-0.29466162,0.75414881,7.78472222,0.63016011,7.41203402,0.25694444,0.52777778
segment_130,0,0,54.88888889,24.63080476,-0.70784979,2.5022349,1.85195802,1,90,61,36,89,28.5,45,117.3380951,4.11712614,0.161282902,6.200285271,248.3163305,331.8857899,158.2471711,0.476812132,0.43576389,0.625,-0.12543554,0.37413194,5.04166667,1.51533606,0.09375,0.40563906,0.625,-0.67882335,0.8480312,6.41666667,-1.42650463,4.81416377,0.54166667,0.625
segment_132,0,0,78.73684211,31.33913327,-0.63785801,2.05250073,2.09622703,6,124,94.5,50.25,118,24,38,99.19595949,4.13316498,0.17507195,5.711937276,280.2320467,337.1539293,252.1371768,0.747839947,0.3203125,0.9375,-0.1462141,0.87304688,7.9375,2,0.2421875,0.70281953,0.8125,-0.66899189,0.88470245,16.4375,-0.22851562,17.95861816,0.375,0.703125
segment_133,1,1,68.51111111,34.28029704,-0.19502237,1.71739971,2.29319111,10,123,64,60,113,27.5,45,118.9949494,4.32708907,0.1562222,6.401138877,370.1094433,452.8304918,261.3495545,0.577146546,0.33390023,0.57142857,0.70833333,2.2675737,6.80952381,2.07711109,0.20408163,0.68939175,0.42857143,-0.68499887,0.89714004,13.64285714,-18.30698629,158.5566816,0.4047619,0.30357143
segment_134,1,1,60.75925926,27.73681548,-0.08683919,2.21068954,2.16471828,1,109,58.5,44.75,108,34.5,54,140.3086579,4.06691762,0.14839867,6.73860486,335.2163481,422.6950178,230.7060199,0.545797822,0.53,0.5,0.7706422,0.725,5.7,1.39546184,0.32,0.6854753,0.3,-0.84072246,0.86684124,8.6,-1.392,15.2352,0.65,0.125
segment_135,1,1,57.625,25.45553722,-0.33224888,1.89899573,1.8674117,0,95,57.5,44.25,95,30.5,56,154.2497834,5.05736995,0.126920066,7.878974793,373.3430058,463.5146138,242.2528169,0.52264332,0.29861111,0.58333333,0.03333333,0.37152778,7.08333333,1.87581458,0.23611111,0.95914792,0.58333333,-0.30397665,0.66219162,12.66666667,-0.37037037,1.84606481,0.41666667,0.58333333
segment_136,1,1,66.21153846,29.64296293,-0.19957143,1.78913176,2.08474369,1,110,70,54.75,109,35.5,52,131.3380951,3.69966465,0.160815681,6.218299055,374.7065519,469.9611853,269.8375672,0.574169901,0.50448735,0.19886364,0.40026828,0.54272663,6.19886364,1.52968496,0.15386105,0.69445769,0.19886364,-0.28108932,0.51094668,11.125,-4.12878152,22.04534913,0.61931818,0.19886364
segment_137,1,1,71.89361702,33.10732646,-0.38072466,2.03294602,2.20162088,1,117,71,63.5,116,26,47,128.7939392,4.95361305,0.140344753,7.12531093,348.8165707,455.7380727,195.6149539,0.429226711,0.5,0.16666667,0.4,0.56944444,7.16666667,1.12581458,0.11111111,0.45914792,0.16666667,-0.53724154,0.61683385,13.5,0.03703704,8.03703704,0.58333333,0.16666667
segment_138,1,1,79.76744186,35.24719168,-0.47731742,1.85204681,2.09935952,2,143,95.5,65.75,141,53,86,226.6761902,4.27690925,0.113851029,8.783407621,350.2013706,461.9062609,292.9723459,0.634267969,0.26629819,0.57142857,0.70146605,1.47760771,6.5952381,2.49377776,0.33900227,1.02541035,0.4047619,-0.63932686,0.9426803,12.46428571,-9.38764712,81.93177997,0.45238095,0.25892857
segment_139,1,1,74.35294118,36.74385291,-0.52477255,2.04779509,2.331899,0,128,83,57.5,128,92.5,136,344.0731599,3.71970984,0.099088899,10.09194785,357.1694276,427.5359733,320.3293143,0.74924529,0.24595036,0.57525084,0.47226968,1.65071,6.72686734,2.44478171,0.35608662,1.05134639,0.43366778,-0.4927348,0.80327282,12.85061315,-4.83129282,88.03604755,0.39799331,0.30978261
segment_14,1,1,54.125,30.59998979,-0.25379948,1.92366271,2.20082579,1,103,63,44.75,102,13.5,24,65.39696962,4.84421997,0.199165537,5.020948977,214.5972973,275.9360407,160.5738711,0.581924241,0.5,0.33333333,-0.2,0.13888889,2.33333333,1.25162917,0.22222222,0.91829583,0.33333333,-0.07448309,0.30379421,1.33333333,0.07407407,0.07407407,0.66666667,0.33333333
segment_140,1,1,61.16666667,31.73210941,-0.7413764,2.24995004,1.73008424,1,99,70,40.75,98,41,66,173.4213562,4.22978918,0.130886327,7.640217426,331.2959402,501.9522993,256.0739737,0.510155993,0.68276014,0,1,0.51576279,6.19444444,0.72051046,0,-3.20E-16,0,-0.75,0.67354804,10.60912698,-3.58220655,21.09943497,0.74007937,0
segment_141,1,1,55.425,37.64497808,-0.24052864,1.58891402,2.24668482,1,112,61,76,111,22.5,40,108.9949494,4.84421997,0.154272962,6.482017257,316.5375175,488.7214825,194.4108601,0.397794791,0.36,0,1,1.2,6,1.52192809,0,-3.20E-16,0,-1,0.97588381,10.2,-9.6,57.6,0.4,0
segment_147,1,1,109.30625,33.89376729,-1.58466378,5.46881349,2.16254751,0,166,120,31.75,166,103.5,160,413.6122651,3.99625377,0.087193016,11.46880852,366.050543,485.4623168,262.781893,0.54130235,0.21053539,0.47625448,0.50383781,1.08915996,9.40456989,2.45350227,0.23128336,0.94521008,0.47625448,-0.36088929,0.77808703,23.2983871,-15.58382316,131.7549622,0.3234767,0.47625448
segment_148,1,1,91.74871795,36.99983972,-1.0572016,3.3127018,2.32565998,0,150,100,40.5,150,127.5,195,501.8376618,3.93598166,0.079762136,12.53727715,372.8002146,441.1453757,282.1836208,0.639661292,0.25769781,0.8800905,0.05867259,0.88326086,8.8178733,2.43190824,0.46567689,1.04805924,0.60067873,-0.4872119,0.80548731,20.14536199,-4.53625411,45.84581505,0.39819005,0.35619344
segment_149,1,1,97.67015707,37.79846114,-1.10557616,3.46857552,2.36772034,1,157,110,45,156,121.5,191,497.1513703,4.09178083,0.078596721,12.72317703,366.4887447,427.8145922,269.1084949,0.629030659,0.22674312,0.64888889,0.77968252,1.3389348,10.38617284,2.38072631,0.43757037,0.89734749,0.42666667,-0.62346199,0.91271011,28.10716049,-11.05105459,94.10668169,0.31555556,0.23222222
segment_15,1,1,60.7,33.37529026,-0.47457221,1.80702651,2.07966348,0,106,69.5,57.5,106,26.5,40,102.3675324,3.86292575,0.178264816,5.609631918,242.297338,189.0147167,135.9597987,0.719308004,0.7662037,0.05555556,0.98029557,0.46990741,3.61111111,0.76416042,0.0462963,0.21667414,0.05555556,-0.24572722,0.3216619,5,-3.14197531,22.76774691,0.83333333,0.05555556
segment_150,1,1,96.64516129,38.60582305,-1.24548581,3.54448667,2.22269802,0,146,109,44.5,146,96.5,155,406.9259736,4.21684947,0.085576235,11.68548716,381.4734591,460.4135188,266.3173941,0.578430874,0.24965374,0.44736842,0.71090546,0.87782779,9.20175439,2.32272733,0.24399815,0.9824843,0.44736842,-0.55245182,0.86464547,22.18421053,-9.4882636,81.12024939,0.37719298,0.44736842
segment_151,1,1,93.78151261,41.45690476,-1.11392375,3.11827141,2.37255774,0,154,107,49.5,154,71,119,317.529004,4.47223949,0.094069905,10.63039237,347.6391808,457.5969578,235.6718342,0.515020544,0.47530009,0.28947368,0.94447626,1.85081948,8.00877193,1.62615917,0.16089566,0.64981734,0.28947368,-0.36760688,0.60795707,18.28947368,-31.18442922,246.7881003,0.52192982,0.28947368
segment_155,1,0,29.03177258,7.28451837,-0.00892768,7.44774994,0.7941721,0,64,29,7,64,342,598,1618.983115,4.73386876,0.0404926,24.69587023,344.6461954,304.1656159,239.3129577,0.786785045,0.59207299,0.12446581,0.61433251,0.15339427,3.60715812,1.11915845,0.10113846,0.47107386,0.12446581,-0.40780519,0.57901191,3.34850427,-0.49966742,0.89115388,0.74134615,0.12446581
segment_156,1,0,122.7731092,49.98713061,-1.26525504,3.25541608,2.31141471,0,177,143,51,177,68.5,119,321.6711396,4.69592905,0.091209089,10.96381957,371.2142239,361.147399,249.4732364,0.690779546,0.3097855,0.32115385,0.64597389,4.77688979,10.20576923,1.92761335,0.1816716,0.7330468,0.32115385,-0.65669929,0.83680515,32.32115385,-27.90621575,696.0427793,0.37692308,0.32115385
segment_158,1,0,108.8086957,50.97482681,-1.16031746,2.84115368,2.09582112,1,171,133,56.5,170,69,115,306.2152955,4.43790283,0.096161803,10.39913946,334.9507427,374.6595954,237.7162087,0.634485842,0.60114402,0.05555556,0.99437412,3.54665978,8.13636364,1.09864223,0.0462963,0.21667414,0.05555556,-0.61411712,0.64529282,22.01767677,21.21024293,407.2555927,0.67929293,0.05555556
segment_159,1,0,100.2934783,58.35825228,-0.65586187,1.74847645,2.28317388,0,164,134.5,106.25,164,58.5,92,239.5046174,4.09409602,0.113205877,8.833463634,322.0015528,349.944982,260.068871,0.743170739,0.46215398,0.02941176,0.99764966,5.47221021,5.33823529,1.4343771,0.02768166,0.16137848,0.02941176,-0.93769295,0.93767644,12.75735294,83.76284857,869.3433766,0.61029412,0.02941176
segment_16,1,1,56,35.38248154,-0.09046046,1.71305486,2.20735181,2,114,58,60,112,14.5,25,67.39696962,4.64806687,0.200285064,4.992883545,145.0965196,183.8736823,71.36810604,0.388136601,1,0,1,0,2,-3.20E-16,0,-3.20E-16,0,0,0,1,0,0,1,0
segment_160,1,0,84.21472393,34.67513427,-0.63812388,2.80611771,2.39573118,1,146,89,43,145,99.5,163,431.2102448,4.3337713,0.082002558,12.19474148,366.7274192,420.0384383,222.9085721,0.530686127,0.46679148,0.36204013,0.44578202,0.59679072,8.88712375,1.63913539,0.08691178,0.38368131,0.36204013,-0.53614244,0.70437448,21.25334448,-0.76821109,19.41265636,0.52801003,0.36204013
segment_161,1,0,91.6,33.93755511,-0.93158305,3.32453885,2.27317962,1,154,101,35,153,99,170,457.6366517,4.62259244,0.077072905,12.97472824,366.5651375,417.643334,238.3821233,0.570779188,0.17555556,0.64444444,0.55549929,1.41526749,7.9037037,2.74256423,0.15407407,0.62974881,0.64444444,-0.52579371,0.91774847,16.8037037,-9.05162872,76.13660698,0.22407407,0.64444444
segment_162,1,0,91.82608696,38.12468352,-0.88059774,2.81113028,2.35019788,1,148,105.5,51.5,147,119.5,184,474.8670991,3.97378326,0.081605007,12.25415011,377.8385899,414.3494576,274.1887726,0.661733152,0.1784267,0.41739766,0.7969372,1.74697316,9.1878655,2.92412712,0.30284853,1.04384786,0.3369883,-0.46729767,0.90197694,22.71783626,-19.56066149,162.3314018,0.3369883,0.26663012
segment_163,1,0,90.01204819,31.59933428,-0.84734066,3.19946358,2.20802326,2,145,99,43.5,143,102.5,166,437.2102448,4.2654658,0.082087407,12.18213661,358.3434107,411.3360623,241.9955664,0.58831595,0.49216642,0.51136364,0.39950391,0.71334489,6.51136364,1.65194035,0.18238742,0.55876835,0.44805195,-0.54855033,0.70115344,12.09983766,-4.11646721,31.68148628,0.58279221,0.39265422
segment_164,1,0,93.44751381,33.77310966,-1.12262759,3.56582691,2.22408,2,155,103,36,153,117.5,181,467.2102448,3.9762574,0.082245379,12.15873777,359.0013928,419.3312633,214.589974,0.511743323,0.29912551,0.61111111,0.0762708,0.81455761,9.64814815,2.23205034,0.16152263,0.65171827,0.61111111,-0.53028945,0.77336938,24.18518519,-4.95999086,41.05794658,0.41666667,0.61111111
segment_165,1,1,80.97297297,38.68874629,-0.82517462,2.53098749,2.2141269,0,149,93,50,149,73.5,111,284.1320344,3.86574196,0.106961726,9.349138624,347.5226611,450.6433865,286.2596688,0.635224387,0.53782548,0.39901478,0.37852452,0.67249569,8.28817734,1.42805562,0.10452814,0.43917292,0.39901478,-0.52720093,0.66967424,17.91748768,-2.39404313,34.81621198,0.59667488,0.39901478
segment_166,1,1,82.125,43.29040742,-0.71512001,2.20344001,2.36756775,2,141,95.5,63.75,139,48,80,213.019336,4.43790283,0.115293951,8.673481887,330.2377931,464.8878106,243.5966309,0.523990144,0.29719388,0.32142857,0.32447257,2.10905612,9.32142857,1.99780146,0.18622449,0.79583639,0.32142857,-0.43052389,0.71682634,24.85714286,-11.28279883,180.2142987,0.42857143,0.32142857
segment_167,1,1,72.90225564,34.04262358,-0.74349898,2.42105403,2.20168566,2,121,83,53,119,84.5,133,346.3574311,4.09890451,0.094082484,10.62897103,370.799137,472.6071084,241.5374151,0.511074444,0.32475995,0.25925926,0.78548212,0.76989026,7.37037037,2.21425643,0.19753086,0.77051538,0.22222222,-0.47795838,0.83247257,15.2962963,2.43067622,33.40194302,0.46296296,0.18981481
segment_168,1,1,83.62318841,36.71219892,-1.00846723,2.862994,2.24254827,1,132,96,48,131,91,138,353.8721497,3.88870494,0.095560683,10.46455479,366.7151483,481.4153529,215.612348,0.447871774,0.45180568,0.39181287,0.81880713,0.96961886,7.30994152,1.82659917,0.12131938,0.52561383,0.39181287,-0.34930545,0.61703492,14.35380117,-9.88573362,69.76572486,0.51315789,0.39181287
segment_169,1,1,88.8961039,45.4048411,-0.67924606,2.17575765,2.48951615,0,151,100,70,151,46.5,77,204.5340546,4.39858182,0.118185931,8.461244003,329.523899,440.3031498,196.0303797,0.445216846,0.46173469,0.07142857,0.97857689,2.97236395,5.92857143,1.27495432,0.05612245,0.24986509,0.07142857,-0.8652338,0.9156955,12.19047619,-6.97084548,252.6934697,0.52380952,0.07142857
segment_17,1,1,41.25,29.72267653,-0.03907719,1.67066508,1.977217,0,89,41,50,89,9.5,16,42.76955262,4.50205817,0.255465364,3.914424967,252.0178565,253.0865414,199.1044389,0.786704966,0.75,0.5,4.44E-16,0.125,4.5,0.5,0,-3.20E-16,0.5,-0.5,0.46493675,6.5,0,0,0.75,0.5
